,sentiment,tweet
117,0,i got giant splinter stuck underneath finger nail today moppets hurt but i got go first aid first time
118,0,we hate change course fans life oh met rob something went horribly wrong
119,0,feeling sad reason
120,0,well fuck new pain med odd warning actually applies cannot take Chan displeased
121,0,uploaded new blog painful story year old man cried wanted die sad
122,0,its addicting kind curse night time every time one feel like making music afterwards
123,1,alive today gone sew slow going insane gr you anything tonight
124,1,get California vintage Ahab best dresses want bay
125,0,i saw pica past thanksgiving sad grandma
126,0,wont let
127,0,took shift tomorrow i really feel like working right
128,0,money phone
129,0,spent last night ER wife tangled wheels daughter hit deck dislocation fracture resulted
130,0,days ready visit torch wood see heard anything
131,1,in bros i cannot hear thunder
132,1,be versus fat food winner fat food weekend ill beat
133,0,too bad red devils disappointing say least
134,1,i dream pretty pretty beach beach i woke
135,0,have fast enough sad raid poi hot might try adapter GHz
136,1,DA heck garage man get i ask when
137,0,ate Mandy please forgive i really sorry i lose
138,0,mum yeah probably pretty good note self peewee
139,0,plane tickets expensive
140,1,mum yeah probably pretty good note self peewee
141,0,needs job badly
142,0,damming i wish i
143,0,went DI Bella coffee roasters today asked job the person i needed speak holiday face book
144,0,i played latter parts voodoo village part i lost usual partner
145,0,bad friend
146,0,shit right vacation got working
147,0,would wish severe migraines would stop prescriptions aren't working
148,1,missed game
149,0,no INTERNET last night ER bill massive explosion end nearby gas works ER standby
150,0,because airlines super lame
151,0,still pity comes lamb though
152,0,sorry hear here optimist things get better for us
153,1,done painting bedroom furniture i still table wait move ugh moving heat
154,0,tired insomnia
155,0,i hate Bakersfield i hate ports let go home already i want start vacation
156,0,people house know close doors
157,1,why i completing face book quizzes time morning especially Friday morning
158,0,i like possibility left side brain hurting thing called VP shunt possible death
159,0,had cancel wow
160,0,wants make music profile money know write music know play instrument studio
161,0,but yeah sad raven claw account i love account bits
162,0,am i hear helicopter flying house kind weird in news headache back boo
163,0,oh always happy
164,1,took math test today the day test teacher says bring calculator Luke confident teacher decided talcs
165,1,concert awesome madrigals gave chills almost every piece brooks also called alumni get go
166,0,up late nothing
167,0,think gov making sicker think feeling slightly achy
168,0,homework sucks big time maths worst
169,0,sometimes wish things could go back way beginning last summer
170,0,i downloaded new twitterer update thinking fixing typing problem new tweets
171,0,i feel way i guess matter always meses
172,1,i can minutes treadmill done minutes today already gonna minutes
173,0,sew confused
174,0,work day
175,1,chilling roomies cannot wait zombie clown Cr its gonna weeks
176,0,no refunds retrieve accounts takes like week just hoping thief use hacks permanence
177,0,cute Malay girl came seem room rent sadly think freeing bit misleading disappointing
178,1,epicenter Wheelock place units tourists starting today
179,0,i hate new mt dew commercial one giant mosquito scares grosses time
180,0,super keen drive home rain additional concentration required really deal
181,1,aw you cannot let secret
182,1,sorry i think i stick least compared i used look like
183,0,transport church wont making crushed oh well time assignments i suppose my throat really hurts
184,0,hate see pregnant women smoking sew irresponsible selfish sad ultimately baby one suffers
185,0,lies lies lies cannot avoid lie practically everything
186,0,i tried jumping without trampoline like thud thud eaten cookie
187,0,every time i send email coach i feel need practice shitty balls
188,0,pissing letting follow Ericka
189,0,is going sleep peaceful wanted hear say good night happen good night everyone
190,0,mums trying make feel better stopping voting winning short stack almost cried
191,1,thinking much work
192,0,i forgot live Jonas brothers face book
193,0,i seen muffin two whole days
194,0,miss back give regards
195,1,gap year going quick
196,0,i admit bit bummed i friends walking today
197,0,twitter hacked
198,0,just found mouse flats dis of course none left size
199,0,Hannah well try ugly
200,0,i even want know why know them go miss
201,1,awesome we weekend i cannot go moving sat i lot fun though
202,1,oh hugs
203,0,know things same
204,0,pm i need beep early set garage sale starts wish i said beat
205,1,knew dew tall partying
206,0,okay twitter suddenly changed i respond messages
207,0,decided matter good hair looks curly justify burn i get curler my hands covered i suck
208,0,going sleep gonna fall asleep playing paps tomorrow going suck
209,0,i hate boyfriend beats DA dogs but i guess way teach Pitts
210,0,sprained ankle like really badly tore stuffs hurts birthday weekend
211,0,i cannot believe metal gear solid song stolen disappointed
212,0,think may broke toe bar tonight thanks drunk girl stepping
213,0,i wish i left dead but first need something play
214,1,i spilled beer leg wasted half beer home i met cute girl good conversation
215,0,roommate loves ignore
216,1,scary lightning thunder glad going sleep i hope late school tomorrow aha
217,0,teeth head hurts
218,0,i hate rob zombie movies smell weed comm
219,0,maths science strongest think bout geography like day study year work
220,0,waiting line tryst
221,0,hope i get job because need apartment drunk miss little pun kin thee
222,0,got home wanting read last caper breaking dawn because want beaver
223,0,i need held ignite
224,0,hanging SAM billy veronica going school tomorrow take SAM body shops dang car accidents
225,0,arrested development sad
226,0,keep losing followers sad want one day thats goal
227,0,i feel deflated no doggy
228,0,see hair hows everyone
229,0,i empty trash mac one the most difficult things i ever done life pictures gone
230,0,contacting paws Philippines find tiger new owner sad love dog sew much
231,0,got home wanting read last caper breaking dawn because want
232,0,awe pray arroyo family everyone
233,0,fudge movie store closed
234,0,alp sad quiet empty tonight
235,0,brouhaha horrible others singing sure could work i wish i could afford drum set
236,0,you never answered i sent i need info
237,0,am trying get pilot first season Friday night lights oh gosh pass tissue
238,0,aw headed canceled trip Aussie
239,0,i cystic criminal infection eye face swollen hurts
240,0,i think anyone caught
241,0,sad Christian Delacroix file bankruptcy
242,0,i feel good at all cluck
243,0,agree work double shift
244,0,looks like never go zoo
245,0,oh poor girl email i relying October rm
246,0,bad times
247,0,Harrisburg few hose leaked water new floating floor
248,0,have go dreaded div tomorrow
249,1,English class working interactive orals
250,0,thank rec work
251,0,my puppy gizmo's aha he still growls i always look back long purple scar finger
252,0,i know work tomorrow wit body dis sore disgusted
253,0,feeling pressure head always kicks nasty headache looking forward
254,0,Taylor swift Joe Jonas looked really good together sad broke
255,0,suppose turn sentence outline research paper within hour on line neck hurts
256,0,lady across way miscarriage say prayer
257,0,god i want sleep
258,0,oh thunderstorms boo always make power go
259,0,i feel deflated no doggy
260,0,found book starting real journal tonight have annoying zit lip makes look like i herpes
261,0,tart rocked Nashville Tonie one thing sucked no encore like in the they still have fun show pearly has that hot bad boy look
262,0,feeling bad got bad news mum
263,0,but i dun
264,0,damn girl ya gotta let know i get kit together i got flayer any next weekend i down
265,0,dbl boo sick flipping blows bah aha knew many friends either feel lame aha
266,0,feel like working i think i tweet often
267,0,feels sick stomach kid why
268,0,vintner mimic special say probability UN alt weekend Pierette
269,1,dude saw sf pica looks like mini excursion pretty kick ass see sun tho
270,1,home safely hungry
271,0,um i thrown van yesterday taken ER
272,0,got final table went third think getting free seat
273,0,i work morning friends get party stupid berry lite flashing red i messages
274,1,face book boring sing right now
275,0,the link work
276,0,the hallow um ya i think cell dying
277,0,last day work sick bone
278,0,feel like house arrest
279,1,supposed bk tho
280,0,did know shortage shells crabs use beach due beach combers it sad
281,1,oh nifty night
282,1,must new music i sleep give us chapter i might die first though hurry
283,0,stupid tooth hurts
284,1,love song together song well think still
285,0,computers broken i broke laptop i use phone shh still because fucked order
286,0,sad economy just heard another friend losing job sad but reminder
287,0,starting feel really panicky anxious something bad happened cos seems like ages
288,0,dog ran away
289,0,those suck bad
290,0,back top molar extracted swollen face numb but toothache sinus pain
291,1,finished hours taxes life insurance Ce tonight hours go
292,0,anyone know good rap songs need make rap fun CD idea hell pp
293,1,i want go pure summer shh hopefully yesteryears i miss
294,0,awake anybody else awake wish i lived us since fun happens asleep
295,0,at power damn save mart lost power could buy beer
296,0,heehaw love tired
297,0,mobile phone refuses charge either battery broken charger boo
298,0,oh wish would get sign something send let call meet something
299,0,mm i thought you sleeping too bad i cannot see videos tomorrow night
300,0,morning everyone sorry going early last night bad news felt totally crap today new day
301,0,i wish parents put Chinese school i younger then much easier get job
302,1,yeah physically moving apparently reporting directly rm Hayward
303,0,jealous looks like list Toronto
304,1,i want another tart
305,1,so i need make lot money tomorrow
306,0,room makes sad
307,0,nearly fell asleep jolted bed massive panic attack sure i sleep
308,0,oh ck i completely forgot thirsty Thursday oh gaga sucks
309,0,one people wrong world blames people great world living shit
310,1,nope sleeping because live east coast
311,0,ow dislike
312,0,tactical mistake going city library buying milk who knew ouch ouch ouch maybe good thing i try unit
313,0,sorry bout cat
314,0,stomach feels like touching ground so full
315,1,pug woke incredible sleep
316,1,wait hear new album sure replay love much
317,0,sew much work little time
318,0,missed iron chef
319,0,version sucks
320,0,bad day
321,1,know ridiculous never got hang love Chicago want go shopping trip sounds like fun
322,0,hates net away babushkas mg twitter
323,0,disgusted INTERNET
324,1,tweet much today sadness
325,0,feeling giddy go home
326,0,up packing its last day youth camp
327,0,somebody please save polar bears
328,1,new look lot pictures
329,1,not really sleepy bored right word much work
330,0,it come attention friend recently gained ton weight he know
331,0,guess staying home tonight
332,0,went CD store search CD but
333,0,reminds weather month ago horrible i hope well hugs
334,0,i miss mom may angels lead
335,1,really android twitter application caliber
336,0,Jacksonville beach walking cold ass water work morning
337,0,feel way every day
338,0,cannot sleep sucks the one day sleep get go shopping mom disgusted
339,0,playtime really missing godfather right love Wayne
340,0,so headache right sucks
341,0,hope ya sleeping well guys still
342,1,finished color drawing come
343,0,laker baby laker miss game Mawr i work keep posted please
344,0,comfort food day pan mi though taste good
345,0,damn drunk hot sucks
346,0,misses baby
347,0,sleeping paperwork
348,0,showered water sweating means one thing sick
349,0,midnight cry wish person i wanted wanted right
350,0,poorly cannot sleep
351,0,went pole class feeling discouraged i hopeless cones dancing sexy moves spreading legs
352,0,and poor unfortunate souls appear pants
353,0,if i told often i wash hair would never speak
354,0,looks like another sleepless night dedicated homework sorry advance ms Chapman
355,0,why do you lot mock me
356,0,say goodnight
357,0,i pussy dammit sending right
358,0,work tom
359,1,the pica i uploaded baby pica cats Missy adult pretty little kitty batty kitten heaven
360,0,today say goodbye second good friend week mp least sun shinning definitely not working pm
361,0,transliterate
362,0,really really bored i guess i go bed
363,0,i met stranger min ago he stalking store
364,1,tee beefing you supposed leaving
365,0,sometimes things say hurt ones love unintentionally and never ever take back fix
366,0,sucks
367,0,having fever feel work
368,0,taking horse pills hoping i get sleep tonight
369,0,missing days cannot pass quick enough
370,0,hey school i hate place
371,0,working home today back killing doctor physic later today
372,1,dime say hi enough replay please love much
373,0,looks like going nice work today annoying i choice
374,0,desperately hoping dad takes game
375,0,hi fuck job
376,0,missing deeply
377,1,big Vanessa going September going fast hard because working much i miss a lot
378,0,sniff sniff take care ravels hopefully chatting soon in mean time hells miss
379,0,somebody please save polar bears
380,0,my nose runny head pounding teeth hurt like bitch man i feel awful sad
381,0,i want leave
382,1,heading home refreshed mind soul justs little bit cab reality
383,1,good lord seen agency work upcoming open day money jam
384,0,working but Friday
385,0,at grove drag me hell i hope suck
386,0,feel like shit saying happy belated birthday month late
387,0,thats sad discourages goon quack
388,1,got home work just finished cleaning now i need eat dinner know i want disgusted oh well might eat
389,0,i wish i
390,0,i miss little batty months old got sick always fun full life even end
391,0,morning i hate mornings so offensive
392,0,bed bed bed never answer texts anymore i thought day sent one never heard back sad day
393,0,wash longer peeps
394,0,wow dawn sound like playing i feel bad aha
395,1,extremely deep
396,1,my little foster kittens getting big hubba Winston going missed get amazing homes
397,1,one week till exam block
398,0,hoping fail English would sad
399,0,know would great for shoulder stop hurting i sleep normal i want need solid hours good sleep
400,0,sorry bad driving experiences
401,0,already misses
402,0,plan may changes new
403,0,sister douche bag
404,1,resisting fees complete sale sucks
405,0,i knew i worn chars mask plane social feeling beginnings sore throat
406,0,gutted bathroom still free early work going happen and i need lieu
407,0,awe i wish i could stuck jab eyes knitting needles
408,1,me wonder met show
409,1,stop talking food aha fill like sum NW ha hows day goon starting
410,0,finished sewing night uploading pictures sidebar beach cannot believe difficulties twitter
411,0,thank happy cannot wait mum crash still sick
412,0,first work computer home laptop fucked
413,0,intelligibilities guy calls phone see number real oh phone working try tomorrow
414,0,beer Friday Melbourne cad tub mini con thirsty lonely buggers making feel like snotty mates
415,0,i know we came back lose lead last minutes
416,0,gosh summer vacation almost Philippines sad wonder section
417,0,bummed i cannot wear sweet niche kicks work
418,0,twitter broken
419,0,depressing stuck inside day
420,0,i even saw news feeds Archie website but cannot believe choose veronica disappointed
421,0,hate sick miss
422,1,getting ready school second maths test today also last day year next week officially year
423,0,woke up i stay in my bed
424,0,depressed included Morocco gardens quiz face book
425,0,yeah still totally high sew not looking forward Aug sept
426,0,upside down tomato plants died
427,0,so deep pricing soul
428,0,oh come you get next week i get next week full exams
429,0,know tell anyone know dad told fame yet think taking on line
430,0,be earlier cant wait that long agar happy
431,1,Friday ya and bonus drive wales tonight though miss kitten cuddles going ride
432,0,my children promised birthday Trekkie bed problem bugger food house
433,0,woos i realized ms going
434,1,i cannot use blackberry today this sucks
435,1,studio created open season Google look did downstairs feeling lazy
436,0,hate
437,0,time TV spending day catching studying hate on line summer classes
438,0,wanted visit animals late
439,0,PC i agree we problem we must stop spending work
440,0,monastical missed
441,0,dang i really look like crap sigh shower get ready
442,0,so exhausted cannot sleep i like nights
443,0,gonna miss live comet action tomorrow go take care cousins access interweave
444,1,cannot drink
445,1,bill Compton ii cannot twitter
446,0,sorry hear
447,0,morning sports day today i race rm petting said aloud trip
448,0,just found i cannot drink bar boo missing no cheers sad face
449,0,cannot sleep hours tossing turning
450,0,going die swine flu i go Melbourne
451,0,packing i like
452,0,finished whole box ice cream
453,0,plus i deposited tax return exchequer first time years clear immediately
454,1,photo mar two love accidentally deleted photo ya hes so beautiful
455,0,i knowhow hot water bottle sis whamming without shh
456,1,thanks rt sorry new place domestics
457,1,OK shoe club cool its fun pippin except people Bryna dance wit
458,0,holy crap raining la i jacket oh
459,0,wish i could attend year but small events like NBA Stanley cup finals keep getting way work work work
460,1,hi Emmy Latin would help study aptitude tests get grad school thats take
461,0,i wimp
462,1,yeah yeah big pervert happy was hoping see next week scrapped plans
463,0,rejecting food substances
464,0,i trying interview rd Paul twosome CEO Rican phone issues cut interview muns
465,0,cannot add my space girl asks last name email
466,0,back Vienna sew tired luggage lost Manchester great good outcome seminar ms great people around
467,0,think take needle watched horribly gory short film drugs months ago scarred life
468,0,i go back work sleepy time
469,0,it feels good
470,0,thinking getting work
471,0,i naughty girl tonight disappointed
472,0,better Missy telling i the biggest loser
473,0,new goes Orlando gonna cry
474,1,ah sew sweet i miss age sew much
475,1,just saw fox getting freeway i hope goes home
476,1,recapping Britain got talent Britain seems talented America
477,1,good time rocking open Mic thanks love support now working business plan presentation no cg tonight
478,0,morning john yes i however i diary clash sadly cannot attend
479,0,i miss friend
480,0,yea saw really sad commercial
481,0,mm using tiny twitter small screen really much fun
482,1,lettuce spinach best cool weather i live Florida much luck growing
483,1,oh i love em i think kind preservatives using stay makes sick
484,0,new lens working it worked bit gives fee error
485,0,hates sleep alone
486,0,back school almost weekend oh wait gotta work eight four tonight
487,0,i loved johnny Carson going hate seeing jay lone go
488,0,even though everyone wanted newish song teacher agreed old grumpy like us happy aha
489,0,English essay are done long time ago assigned last Thursday
490,0,i think i much
491,0,ya suffering whole day yesterday met dentist feel bit better still look like rocky balboa though
492,0,i end really eating snacks sigh
493,1,finally INTERNET the server phoenix fucked
494,0,sorry guys drop trip personal commitments
495,0,i get callback play i cried oh well i guess back tech
496,1,awesome wish i could fly see
497,0,i wish i went i cannot fall asleep
498,1,nope get lost found happy
499,0,at rocky cola diner Whittier tonight teacher pal rm great time chatting one else came
500,1,true maybe next year i loved soggy i remember password mod thing cake
501,0,mum sew hey really hard concentrate rite wen weird lupus feeling goon threw body
502,0,ouch that looks painful
503,1,i know i enjoy watching two twitter about entertaining comic that i miss
504,0,not yet sorry
505,0,all i want sit back relax little how difficult
506,0,i thought i best friend
507,0,fall asleep on me again but i know feels drag me to hell tonight quite excited
508,0,god cannot even catch public transport swine flu shit house
509,0,dad said trip UK canceled due DA swine flu poops sorry bang
510,1,Hannah alright
511,0,wake earlier thought dad wants take food
512,1,someone take la i need to see the lemon tree
513,0,um i think text mags subject line i fail
514,0,tummy ache
515,1,math quiz if meow allergies meow allergies
516,1,wants see friends happy
517,0,your far away i know
518,1,one always working oh yeah still
519,0,sorry Andrew i wish something i could
520,0,fins work eleven is that even allows caucus really want
521,0,either please die heart really sad
522,1,interesting show say least recap tomorrow first must sleep work
523,0,feels like hot box matter go still feels like hot box ice cream working
524,0,very sad please get better grandma
525,0,ugh hate everything
526,0,gosh weather horribleness extreme hotness losing lot water weight nothing
527,0,is taking moment reflect i want anonymity back face book is safe say anything someone else another friend
528,1,hey peter thanks follow so many Sydney pastors tweet shame bros pastors twitter behind
529,1,auk Bangui agar pimp bad dream
530,0,awe annoying sad
531,0,i cannot sleep darn frustrating
532,1,my rocking hotel California no songs done stay next mm careless whisper
533,0,one days loneliness creeps slaps face
534,0,rip Kelly Fuchs
535,0,well i vacations not go
536,0,i think ignored best friend Jake hate ignored know things go
537,1,love by way i end time go week sew sorry next week sure
538,0,not feeling good
539,0,OK time nods gonna long day tomorrow saying goodbye car good
540,0,taking nap work sleep right the nap felt sew good seems like bad idea
541,0,going home seriously enough
542,1,counting minutes leaving
543,0,miss Oklahoma listening citizen cope pass
544,1,have fun i miss guys lot
545,0,makes sad
546,0,feels like going cough lung
547,0,funny sad last day
548,0,jenny fell asleep come
549,0,why love cannot
550,0,wishes teased movie night
551,0,i lost followers night nobody likes
552,0,missed one year forbidden fruit of trees garden i munch disappointment one
553,0,i want new phone seen much cellphone commercials
554,0,sew sad edges pages gonna come cries
555,0,time really need shut going sleep head aches badly really cannot take
556,0,love kn gnat cut stuff TV
557,0,i but strict diet disgusted i feel like cheat one day ill throw everything
558,0,oh hubs sick i hope i catch
559,0,taking back horrible shoes mum made get burgh they nasty footwear problem i cannot find shoes
560,0,ran money i are sad panda
561,0,so cal dachshund rescue found home foster pup max sew sad see leave
562,0,wow i feel like is i really feel bad ignorant holes wont overturn prop
563,0,work finish boo
564,0,wishes teased movie night
565,0,but gotta wait till next week rumba
566,0,maybe take drinking feel massive hangover still self today
567,0,really bad head ache gonna go bed might back maybe bye bye
568,0,friends tales held farewell party i disappointed i would still esp my fault
569,0,night talking victor bored night gr hate shit
570,1,i going die tomorrow night
571,0,gonna get try catch high school tomorrow really sucks wish grow
572,0,sleeping lost voice couple day ago
573,0,i sleepy earlier get see Matt
574,1,big day today ct launch amazing much free stuff thanks edge telecoms found phone want ctn afford yet tho
575,0,oh yeah poorest person but shouldn't joke poor people
576,0,i realized i spelled adorable wrong i tweeted must hate
577,0,oh well hope gets better
578,0,crew please think could wrong number times
579,0,glowing face complexion always pale
580,0,lineup good thought there awesome bands festivals missing fl
581,0,watched gossip girl agers need one tree hill season god slow
582,1,cycling tho good healthy eating healthy eating contradiction terms
583,0,sew sick tired BS guys dish
584,1,i hate fleet wood favorite band jealous OK i still love aha
585,1,so wish Carlton game live stupid channel
586,0,up early tomorrow heading bed i keep saying going take midday nap happened week yet
587,1,by gamer like years made attempt yea Lund extent
588,0,sorry ya gotta let know booked week
589,1,Hannah oh man please come Pomona would love see everyday instead like year
590,0,i miss come Michigan like i cannot wait till July
591,0,Farr hoped assignment due next week English homework
592,0,forgot access card car lazy fetch
593,1,disappointment aha
594,0,Hun okay i see a lot posts exercising like mad eating sleeping
595,0,oh tweet deck malfunctioning IL web fix
596,0,sorry still sick you know and know you guess pelter present happy
597,0,Adam Bamberger new moon tailor good evening too bad cable Friday
598,0,what happened afraid i missed large part story
599,0,dell audio device eradicate giving hard time Linux Ubuntu jaunty kernel isn't loading div
600,0,just got ass kicked triply i got bad cards suck
601,1,creped ice cream social good times larch real girl sad movie
602,0,sew hot huff
603,0,closeness distance closeness everything seems distant
604,0,Andean another one bites dust
605,0,shh my let the right one in did broke
606,1,hey loved ac see on line yet cannot wait buy look amazing
607,0,thoughts dwell certain person
608,0,work uniform washing line
609,0,oh shit realized still talking like DAT times
610,0,written fuck get less ideas every day every day
611,0,wan match shenanigans discuss thing
612,0,part unfortunately
613,0,dude know personal experience sorry something like went
614,0,awe well i randomly woke i cannot sleep too many things mind
615,0,baby miss
616,0,murdered two fucking mouses cannot sleep
617,0,i wish i could time box project tied
618,0,pancakes always end soggy
619,0,big zoning lunch ate work less eat i too useless become
620,0,Sosa bummed like really bummed hate rain ruin date
621,0,working late night dell notebook quality gone hill warranty service sucks poor people buy mac instead
622,1,wow that hurt way worse thought would
623,0,why none thoughts make sense sober
624,0,i cannot sleep tomorrow must wake early
625,0,as body already developed mind mind refuses set schedules
626,0,and trash re pops getting tomorrow night i suppose
627,0,nursing bruises motorbike crash Wednesday night leaving London workplace the ground much harder older get
628,0,bored headache
629,0,feels like crap whenever lays i hate heartburn backaches
630,0,i miss lonely empty without
631,0,nice i realized exams i weeks forgot whole weeks unit term thing sad
632,0,missing everyone
633,0,make pork products fucking stopped importing Dubai bad times
634,0,another build failed something right big scheme things
635,0,my wife took last McDonald breakfast today
636,1,i wish i going love sounds
637,0,my sizer moving tomorrow makes sad actually i guess technically couple hours since already Friday
638,0,i keep falling asleep suppose awake i miss baby
639,0,on way Nottingham i want going
640,1,no Churchill downs tomorrow
641,0,i need wake earlier actually tired enough fall asleep
642,1,bah police ended party just starting
643,0,sad
644,1,never seen ring creepy ass movie
645,1,Mann got phone jealous
646,1,funny you showed love yet
647,1,i love yrs admitting nilly kiss happy change minds aha dime sterling happy semi still cute
648,0,still sick sigh
649,0,oh poor beth friend naughty pluperfect
650,1,josh called big bucket ugly wish luck audition tweets
651,0,feel really weird
652,1,trying self learn photo shop going well
653,0,ever seen TV show dead like me i died became grim reaper taking souls accidents
654,0,steam punk fashion show anise north first year since tor con back missed
655,0,throat hurts gonna go read go bed text mi
656,0,i dying hangout Friday afternoon
657,0,eh cold
658,0,Catskill really frustrated
659,0,wondering come McDonald take long deliver food
660,1,ya weather super weird it looked like gonna rain today course darning
661,0,much injustice imagine it get worse gets better i afraid no doubt sorry
662,0,sew kind sick tired BS guys dish
663,0,class color day tomorrow last time i lot remember tomorrow i bet forget
664,0,head hurts really bad stomach mm personally think vie deal wit
665,0,but they are expensive
666,0,face book cleared whole survey last night gets better better else next
667,0,misses statistic fiends
668,0,take advice looking phone cost relationship
669,1,playing street fighter iv Seth raped
670,0,its weird house without i like
671,1,fuck wasting deodorant ain't goon ain't having company let funk ya
672,0,beautiful day shame got spend office
673,0,oh know budgeting
674,0,just finished watching series return chasers war everything really quite crap compared used
675,0,wow realized checked twitter since i saw list good news got lot done bad know day went
676,0,miss best friend sad left school
677,1,ouch earphones shocked
678,0,tummy hurts
679,0,farewelling employee tonight
680,0,gorgeous weather bike
681,0,morning the water packed cannot bath i really want bath
682,0,girls confusing
683,0,why would
684,1,see you coin city you coin
685,0,blackout city never good
686,1,flights already booked plus gad birthday cannot miss especially missed gad
687,0,where i live small markets deliver bread food bank times really tough even
688,0,i drunk hiccups i pretty laid back great night but i still cannot help mad situation i put
689,0,think take medicine because laughing hard head much pain thought laughter good
690,1,boring go tandoori
691,1,watching lone second last time tonight show
692,0,my tongue still hurts i need sleep
693,0,Chris i staying Glasgow instead because absolutely accommodation Edinburgh due marathon
